answer	is_standard
부산광역시 부산진구 가야대로703번길 30	O
전남광주통합특별시 순천시 용당삼산로 63	O
서울특별시 구로구 개봉로17다길 56-7	O
충청남도 아산시 문화로 257-45	O
경기도 의정부시 송양로 16	O
서울특별시 중랑구 신내로19길	X
경기도 화성시 만세구 수노을1로 108	O
전북특별자치도 전주시 덕진구 천마산로 12	O
서울특별시 강남구 도곡로 404	O
울산광역시 중구 동천4길 61	O
서울특별시 도봉구 도봉로149길 11-6	O
경기도 평택시 용죽1로 65	O
인천광역시 중구 하늘달빛로 95	O
서울특별시 양천구 곰달래로9길 49	O
경기도 부천시 오정구 석천로342번길 45-8	O
경기도 남양주시 금곡로19번길 42	O
경상북도 김천시 한마음길 8	O
경상남도 창원시 성산구 토월로27번길 18	O
충청북도 진천군 덕산읍 대하로 194	O
경기도 수원시 장안구 파장로76번길 24-7	O
경상남도 함양군 지곡면 주암길 156	O
경상북도 김천시 신음새동네길 11	O
서울특별시 강동구 상암로5길 54	O
충청북도 청주시 흥덕구 진재로103번길 37	O
경상북도 청송군 부남면 구천1길 12-16	O
전남광주통합특별시 순천시 서면 강청새길 5	O
경기도 수원시 영통구 센트럴타운로22번길 36	O
부산광역시 금정구 금강로565번길 54	O
경기도 이천시 영창로 315	O
충청남도 천안시 서북구 불당25로 8	O
부산광역시 사상구 가야대로 303-1	O
인천광역시 계양구 봉오대로477번길 20	O
경기도 안양시 동안구 관악대로 289	O
경기도 평택시 고덕면 황구지마을길 22-4	O
경상북도 영주시 부석면 영부로106번길 6-11	O
경기도 용인시 기흥구 금화로58번길 10	O
전북특별자치도 전주시 완산구 팔달로 52-1	O
경기도 이천시 모가면 어농로 84	O
인천광역시 검단구 검단로 446	O
강원특별자치도 평창군 솔봉로 278-84	O
경기도 고양시 덕양구 통일로759번길 28-3	O
대구광역시 달서구 상원로 142	O
대전광역시 동구 한밭대로1254번길 24	O
제주특별자치도 제주시 독짓골8길 29	O
경상북도 영천시 북안면 돌할매로 41-10	O
전북특별자치도 고창군 상하면 구시포해변길 146-3	O
인천광역시 연수구 해송로 143	O
서울특별시 성동구 금호로 127	O
경기도 양평군 양평읍 중앙로91번길 11	O
서울특별시 구로구 오리로20길 15	O
경상북도 영천시 완산5길 112	O
전남광주통합특별시 순천시 외서면 쌍향수길 855-14	O
충청북도 청주시 흥덕구 가로수로1131번길 101	O
서울특별시 서초구 효령로 84	O
전북특별자치도 익산시 망성면 라평1길 59	O
경상남도 하동군 하동읍 소재1길 15	O
경기도 안산시 상록구 해양4로 31	O
대전광역시 유성구 진잠로70번길 39	O
경기도 부천시 오정구 소사로748번길 30	O
경기도 광주시 경안안길 63-1	O
전남광주통합특별시 무안군 청계면 해안로 27-8	O
경기도 화성시 만세구 수노을1로 147	O
인천광역시 부평구 세월천로 16	O
경상남도 창원시 마산합포구 월영남14길 11-1	O
대구광역시 달서구 구마로14남길 55	O
강원특별자치도 강릉시 경강로2539번길 22	O
인천광역시 부평구 부평동 부평문화로 37	O
인천광역시 남동구 경인로 593-1	O
인천광역시 미추홀구 용정공원로 33	O
경기도 수원시 영통구 영통로 107	O
제주특별자치도 제주시 우평로 62	O
서울특별시 강남구 개포로21길 6	O
경기도 의정부시 신곡로 35	O
인천광역시 중구 인항로 30	O
전남광주통합특별시 완도군 노화읍 포전길 7	O
서울특별시 동작구 동작대로35가길 1	O
경기도 안산시 상록구 충장로3길 25	O
경기도 평택시 고덕국제대로 232	O
경기도 동두천시 지행로 16	O
제주특별자치도 제주시 애월읍 수산서길 9	O
경기도 화성시 동탄구 동탄순환대로21길 54	O
경기도 의정부시 경의로 193	O
