query,answer,in_읍면리포함
순천시 용당삼산로 육 삼 백팔 동 천삼백육 호,전남광주통합특별시 순천시 용당삼산로 63,True
충북 진천군 덕산읍 대하로 백구십오백구십사 동일하이빌 백오동 이천삼백삼호,충청북도 진천군 덕산읍 대하로 194,True
경남 함양군 지곡면 조암길 일오육,경상남도 함양군 지곡면 주암길 156,True
경북 청송군 부남면 구천이일길 십이 다시 십육 단독 주택,경상북도 청송군 부남면 구천1길 12-16,True
전남 순천시 서면 강청새길 호 금호어울림 백육동 천사백육 호,전남광주통합특별시 순천시 서면 강청새길 5,True
경기도 평택시 고덕면 상궁지마을길 이십이 다시 사,경기도 평택시 고덕면 황구지마을길 22-4,True
경북 영주시 부석면 영부로 백육 번길 육 다시 십이,경상북도 영주시 부석면 영부로106번길 6-11,True
경기도 이천시 모가면 어농로 팔오사 번지,경기도 이천시 모가면 어농로 84,True
인천시 인천시 서구 왕길동 검단 사사육 대림 이편한세상 백육 동 이백일 호,인천광역시 검단구 검단로 446,True
경북 영천시 부강면 돌 할매로 사십일 다시 십 백팬스 철대문안,경상북도 영천시 북안면 돌할매로 41-10,True
허고 창군 전북 고창군 상하면 구 시포해변길 백사십육 다시 삼,전북특별자치도 고창군 상하면 구시포해변길 146-3,True
경기도 양평군 양평읍 중앙로 구십일 번길 십이 삼부원룸 백육호,경기도 양평군 양평읍 중앙로91번길 11,True
경북 영천시 완산 오 길 일일이 백오 동 이백삼 호,경상북도 영천시 완산5길 112,False
순천시 외서면 어 쌍향수길 팔오오 다시 일사,전남광주통합특별시 순천시 외서면 쌍향수길 855-14,True
익산시 망성면 마평 일 길 오십구,전북특별자치도 익산시 망성면 라평1길 59,True
경남 하동군 하동읍 서재일 길 십오 호 흥한타운 삼백삼호,경상남도 하동군 하동읍 소재1길 15,True
무안군 청계면 해안로 이십칠 다시 이팔 문화원룸사공삼 호,전남광주통합특별시 무안군 청계면 해안로 27-8,True
인천시 부평구 부평동 문화의거리 삼십칠 동아아파트 구동 이백삼호 김순자,인천광역시 부평구 부평동 부평문화로 37,False
전남 완도군 노화읍 소전길 칠,전남광주통합특별시 완도군 노화읍 포전길 7,True
제주시 애월읍 수산서길 구 일이삼구 다시 이,제주특별자치도 제주시 애월읍 수산서길 9,True
충남 태안군 태안읍 호암로 삼백십일 다시 칠십구,충청남도 태안군 태안읍 송암로 311-79,True
부천시 소흘읍 검바위길 팔십사 성원아파트 백이동 삼백팔호,경기도 포천시 소흘읍 검바위길 84,True
경기도 음 강원도 원주시 흥업면 울업 일 길 이 삼 층 우측가정집,강원특별자치도 원주시 흥업면 울업1길 2,True
경기 포천시 군내면 좌의길 이십육,경기도 포천시 군내면 좌의길 16,True
경산 압량시 압독 삼 로 삼십육 코아루 아파트,경상북도 경산시 압량읍 압독3로 36,True
강원도 정선군 정선읍 봉양 이리 이십이,강원특별자치도 정선군 정선읍 봉양2길 22,True
경기도 포천시 소흘읍 어 신옥광릉수목원로 육백삼십칠 번길 십삼 다시 십사,경기도 포천시 소흘읍 광릉수목원로637번길 13-14,True
경기도 용인시 처인구 남사읍 전곡로 구십삼 번길 일 백이 호,경기도 용인시 처인구 남사읍 전궁로93번길 1,True
